FREQ;Frequency;TENOR;Tenor;INSTRUMENT_TYPE;Instrument Type;DECIMALS;Decimals;TIME_PERIOD;OBS_VALUE
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-04-27;3.254
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-04-28;3.214
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-02;3.261
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-03;3.198
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-04;3.211
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-05;3.224
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-08;3.255
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-09;3.251
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-10;3.322
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-11;3.248
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-12;3.266
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-15;3.285
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-16;3.274
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-19;3.35
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-22;3.321
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-23;3.337
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-24;3.317
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-25;3.36
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-26;3.395
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-30;3.308
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-05-31;3.285
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-01;3.311
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-02;3.369
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-05;3.491
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-06;3.487
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-07;3.493
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-08;3.565
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-09;3.697
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-12;3.678
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-13;3.664
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-14;3.654
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-15;3.692
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-16;3.679
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-19;3.717
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-20;3.717
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-21;3.761
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-22;3.877
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-23;3.831
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-26;3.869
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-27;3.904
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-28;3.94
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-29;3.996
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-06-30;4.02
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-03;4.023
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-04;4.043
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-05;3.99
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-06;4.051
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-07;4.041
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-10;4.151
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-11;4.171
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-12;4.139
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-13;4.076
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-14;4.105
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-17;4.116
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-18;4.017
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-19;3.994
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-20;4.056
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-21;4.087
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-24;4.074
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-25;4.092
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-26;4.102
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-27;4.11
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-28;4.141
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-07-31;4.168
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-01;4.209
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-02;4.214
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-03;4.26
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-04;4.285
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-07;4.324
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-08;4.251
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-09;4.232
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-10;4.114
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-11;4.045
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-14;4.017
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-15;4.1
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-16;4.121
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-17;4.126
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-18;4.161
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-21;4.214
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-22;4.206
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-23;4.119
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-24;4.078
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-25;4.113
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-28;4.112
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-29;4.108
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-30;4.069
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-08-31;4.018
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-01;4.023
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-04;4.094
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-05;4.103
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-06;4.12
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-07;4.171
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-08;4.176
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-11;4.129
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-12;4.126
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-13;4.126
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-14;4.004
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-15;4.029
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-18;4.053
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-19;4.08
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-20;4.079
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-21;4.196
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-22;4.189
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-25;4.2
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-26;4.164
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-27;4.127
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-28;4.209
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-09-29;4.114
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-02;4.217
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-03;4.253
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-04;4.229
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-05;4.206
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-06;4.26
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-09;4.253
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-10;4.135
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-11;3.99
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-12;3.999
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-13;3.943
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-16;3.999
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-17;4.047
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-18;4.063
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-19;4.103
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-20;4.063
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-23;4.084
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-24;4.046
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-25;4.091
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-26;4.083
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-27;4.075
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-30;4.072
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-10-31;4.086
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-01;4.001
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-02;3.878
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-03;3.825
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-06;3.879
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-07;3.863
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-08;3.899
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-09;3.915
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-10;4.006
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-13;4.02
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-14;3.935
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-15;3.922
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-16;3.851
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-17;3.813
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-20;3.799
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-21;3.79
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-22;3.781
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-23;3.83
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-24;3.842
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-27;3.816
